complete_video_IDs,video_titles
https://www.youtube.com/watch?v=-hgrSklE7Hc,पनीर_65_स्ट्रीट_फूड_रेसीपी_।_Paneer_65_Fry_restaurant_style_
https://www.youtube.com/watch?v=6pUekxBwDv8,ज़ीरो_आयल_शाही_पनीर_और_खाने_में_स्वाद_में_एकदम_शाही_पनीर_ही_जैसा_।_Zero_Oil_Shahi_Paneer_Recipe
https://www.youtube.com/watch?v=zXVuxhhAILI,"बेसन_की_पिन्नी,_गुड़_या_चीनी,_2_तरह_से,_शक्ति_और_इम्युनिटी_के_लिये_।_Traditional_Besan_Pinni_Recipe"
https://www.youtube.com/watch?v=fOCr-dkOCIU,न्यूट्री_मटर_मसाला_करी_
https://www.youtube.com/watch?v=WlIOzqKtmJY,बाजरे_का_परांठा-इतना_स्वादिष्ट-खस्ता_?_न्यूट्रीशियस_व_बनाना_आसान_।_Pearl_Millet_Flour-greens_Paratha
https://www.youtube.com/watch?v=Y5yJt6vu_34,दाल_बच_गई_है_तो_फटाफट_ये_क्रिस्पी_दोसा_बना_डालिये_।_Instant_Masala_Dosa_using_leftover_Dal_Recipe
https://www.youtube.com/watch?v=6Z0N1Tr_gzQ,फ्रेंच_टोस्ट-फटाफट_बनने_वाला_स्वादिष्ट_नाश्ता-एगलैस।_Eggless_Cheesy_French_Toast_Indian_Style_recipe
https://www.youtube.com/watch?v=36eoUvFuEa8,"बाजरे_की_बर्फी,_बेहद_स्वादिष्ट,_सर्दी_में_शक्ति_देने_वाली,_लम्बी_शेल्फ_लाइफ_।_Pearl_Millet_Gur_Burfi"
https://www.youtube.com/watch?v=0H5sdgdODB8,"गज़ब_का_सांफ्ट_स्पंजी_ढोकला_-_चना_दाल_चावल_से,_सही_माप_के_साथ_।_Quick_Chana_Dal_Rice_Dhokla_Recipe"
https://www.youtube.com/watch?v=fzC7vQFnyRQ,"मक्के_की_कुकीज_जैसी_खस्ता_कुरकुरी_टिक्की,_जो_खाये,_बार_बार_मांगे।_Maze_Flour_Til_Sweet_Tikki_Recipe"
https://www.youtube.com/watch?v=XMLyarcoBwk,ताजा_मटर_मखाने_की_स्पेशल_सब्जी_पार्टी-शादियों_वाली_।_Phool_Makhana_Matar_Sabji_with_easy_ingredients
https://www.youtube.com/watch?v=JAcof_j1Ua4,"साग_मुठिया,__कम_तेल_में_बना_पारंपरिक_स्वाद_भरा_हैल्दी_नाश्ता_।_Green_Leaves_Muthia_Recipe"
https://www.youtube.com/watch?v=q0ARhqTa-mA,"तिलगुड़_के_एकदम_सॉफ्ट_लड्डू,_सर्दी_में_एनर्जी_देने_वाले।_Soft_Til_Gud_ladoo_recipe-_Tilkut_Recipe"
https://www.youtube.com/watch?v=Z6VS3deeumU,इस_मकर_संक्रान्ति_पर_मूंगदाल_पालक_के_कुरकुरे_मंगोड़े_एसे_बनायें_।_Moong_Dal_Palak_Mangode_Recipe
