complete_video_IDs,video_titles
https://www.youtube.com/watch?v=PBJUfIDcCxU,"China's_strict_'Zero_Covid_Policy'_backfires,_record_surge_in_Covid_cases_in_Shanghai_"
https://www.youtube.com/watch?v=u2f5-LZGInA,The_West_Asia_Post_
https://www.youtube.com/watch?v=wjD4gkYzEAc,"Islamic_state_'Beatles'_cell_member_convicted_in_US,_guilty_for_abuse_&_death_of_4_Americans"
https://www.youtube.com/watch?v=MPbJquLTELM,WION-VOA_Co-Production:_ICC_declares_Ukraine_as_a_crime_scene_
https://www.youtube.com/watch?v=uEbToYH_hvM,"Chopping_up_Chanel:_Russian_influencers_chop_down_Chanel_bags_worth_$7,000_each_"
https://www.youtube.com/watch?v=UGdMHxg8iHs,"Revenge,_ego_trip,_or_free_speech_crusade?_What's_behind_Musk's_Twitter_takeover_bid?"
https://www.youtube.com/watch?v=xCuj4zgWpj8,"Violent_clashes_at_Jerusalem_Holy_site,_masked_men_enter_Al-Aqsa_Mosque_"
https://www.youtube.com/watch?v=PUKo4grUjcE,Long-lasting_effects_of_Global_Warming:_Atmospheric_rivers_destabilizing_Ice_shelves_
https://www.youtube.com/watch?v=QKs-NrjuWfM,South_Africa:_UN_says_rise_in_Xenophobic_violence_worrisome_
https://www.youtube.com/watch?v=R44ZCgmbaQQ,"Tropical_storm_'Megi'_leaves_trail_of_destruction_in_Philippines,_claims_148_lives_"
https://www.youtube.com/watch?v=fz7KmCmEHKg,"British_PM_Boris_Johnson_to_visit_India;_agreements_on_defence,_security_&_education_likely_"
https://www.youtube.com/watch?v=9x2zDijwzTU,WION_Live_Broadcast_
https://www.youtube.com/watch?v=evz1it6l9os,46_countries_in_the_world_have_global_geoparks_
https://www.youtube.com/watch?v=pRZSD-UrDpI,"Chocolate_making_with_a_difference,_Easter_eggs_made_from_organically-grown_beans_"
https://www.youtube.com/watch?v=52BSHvPB6SA,"Russia_pledges_more_attacks_on_Kyiv,_accuses_Ukraine_of_bombing_border_town_"
https://www.youtube.com/watch?v=mXrEOUgrRGA,2022_New_York_International_Auto_Show:_Electric_vehicle_revolution_is_underway_
